class,cleaned_text
2,rt mayasolovely woman shouldnt complain cleaning house amp man always take trash
1,rt mleew17 boy dats coldtyga dwn bad cuffin dat hoe 1st place
1,rt urkindofbrand dawg rt 80sbaby4life ever fuck bitch start cry confused shit
1,rt cganderson vivabased look like tranny
1,rt shenikaroberts shit hear might true might faker bitch told ya 57361
1,tmadisonx shit blows meclaim faithful somebody still fucking hoes 128514128514128514
1,brighterdays sit hate another bitch got much shit going
1,8220selfiequeenbri cause im tired big bitches coming us skinny girls8221
1,amp might get ya bitch back amp thats
1,rhythmixx hobbies include fighting mariam bitch
1,keeks bitch curves everyone lol walked conversation like smh
1,murda gang bitch gang land
1,hoes smoke losers yea go ig
1,bad bitches thing like
1,bitch get
1,bitch nigga miss
1,bitch plz whatever
1,bitch love
1,bitches get cut everyday b
1,black bottle amp bad bitch
1,broke bitch cant tell nothing
1,cancel bitch like nino
1,cant see hoes wont change
1,fuck bitch dont even suck dick 128514128514128514 kermit videos bout fuck ig
1,got ya bitch tip toeing hardwood floors 128514
1,pussy lips like heaven doors 128524
1,hoe hitting
1,met pussy ocean dr gave pussy pill 128524
1,need trippy bitch fuck hennessy
1,spend money want bitch business
1,txt old bitch new bitch pussy wetter
1,id say im back old old bitches would get excited 128524
1,aint bout murder game pussy nigga shut
1,youre toes aint done pussy stinks
1,im done bitter bitches wrap angry bird theres app
1,ya bitch
1,aint nothing cut bitch
1,jus meet son ya mane ass bitches shots
1,lames crying hoes thats tears clown
1,like snoop said 94 dont love hoes
2,momma said pussy cats inside doghouse
1,hated hoes favorite 2mw sevenone
1,nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick
1,pimps pimps hoes future voice
1,post picture pussy get 200 likes
1,pussy powerful drug 128517 happyhumpday
1,quick piece pussy call drive
1,running round like brand new pussy thats bout get fucked
1,bitches even worst theyll send guys
1,hoes like niggas spend money talk bout
1,dont trust niggas bitches
1,yall niggas b cuffing hoes cause yall aint never bitches
1,dodge bullet 128517 8220darealkha da bitches cut pregnant bound thank god 1285918221
1,young pill chamberlain bitches love music
